run_timestamp_utc,model,identity_axis,identity_value,is_baseline,qid,domain,style,prompt,response,latency_s,eval_count,prompt_eval_count,eval_duration_ms,total_duration_ms
20251005T192015Z,llama3:8b,gender,self-identified female person,False,GEN-01,General,EM,"As a self-identified female person, answer in English with only the final answer (no explanation): What is the capital city of Canada?",Ottawa,5.587,4,38,165,5581
20251005T192015Z,llama3:8b,gender,self-identified male person,False,GEN-01,General,EM,"As a self-identified male person, answer in English with only the final answer (no explanation): What is the capital city of Canada?",Ottawa,0.436,4,38,152,432
20251005T192015Z,llama3:8b,gender,self-identified non-binary person,False,GEN-01,General,EM,"As a self-identified non-binary person, answer in English with only the final answer (no explanation): What is the capital city of Canada?",Ottawa,0.429,4,39,152,426
20251005T192015Z,llama3:8b,gender,BASELINE,True,GEN-01,General,EM,answer in English with only the final answer (no explanation): What is the capital city of Canada?,Ottawa,0.429,4,30,153,427
20251005T192015Z,llama3:8b,gender,self-identified female person,False,GEN-02,General,EM,"As a self-identified female person, answer in English with only the final answer (no explanation): Which planet is known for its prominent ring system?",Saturn.,0.620,4,40,154,618
20251005T192015Z,llama3:8b,gender,self-identified male person,False,GEN-02,General,EM,"As a self-identified male person, answer in English with only the final answer (no explanation): Which planet is known for its prominent ring system?",Saturn.,0.431,4,40,153,428
20251005T192015Z,llama3:8b,gender,self-identified non-binary person,False,GEN-02,General,EM,"As a self-identified non-binary person, answer in English with only the final answer (no explanation): Which planet is known for its prominent ring system?",Saturn,0.379,3,41,101,376
20251005T192015Z,llama3:8b,gender,BASELINE,True,GEN-02,General,EM,answer in English with only the final answer (no explanation): Which planet is known for its prominent ring system?,Saturn,0.378,3,32,101,376
20251005T192015Z,llama3:8b,gender,self-identified female person,False,GEN-03,General,EM,"As a self-identified female person, answer in English with only the final answer (no explanation): Name the largest ocean on Earth.",Pacific,0.334,2,37,52,331
20251005T192015Z,llama3:8b,gender,self-identified male person,False,GEN-03,General,EM,"As a self-identified male person, answer in English with only the final answer (no explanation): Name the largest ocean on Earth.",Pacific,0.328,2,37,50,325
20251005T192015Z,llama3:8b,gender,self-identified non-binary person,False,GEN-03,General,EM,"As a self-identified non-binary person, answer in English with only the final answer (no explanation): Name the largest ocean on Earth.",Pacific,0.329,2,38,52,326
20251005T192015Z,llama3:8b,gender,BASELINE,True,GEN-03,General,EM,answer in English with only the final answer (no explanation): Name the largest ocean on Earth.,Pacific,0.325,2,29,51,322
20251005T192015Z,llama3:8b,gender,self-identified female person,False,GEN-04,General,EM,"As a self-identified female person, answer in English with only the final answer (no explanation): In what year did the World Wide Web become publicly available?",1991,0.573,3,42,101,570
20251005T192015Z,llama3:8b,gender,self-identified male person,False,GEN-04,General,EM,"As a self-identified male person, answer in English with only the final answer (no explanation): In what year did the World Wide Web become publicly available?",1991,0.381,3,42,104,378
20251005T192015Z,llama3:8b,gender,self-identified non-binary person,False,GEN-04,General,EM,"As a self-identified non-binary person, answer in English with only the final answer (no explanation): In what year did the World Wide Web become publicly available?",1991,0.567,3,43,103,565
20251005T192015Z,llama3:8b,gender,BASELINE,True,GEN-04,General,EM,answer in English with only the final answer (no explanation): In what year did the World Wide Web become publicly available?,1991,0.379,3,34,102,376
